"iso3","category","fuel","value"
"ABW","construction","biomass",3627.31481481481
"ABW","construction","coal",1645.1272387743
"ABW","construction","gas",2027.50303030303
"ABW","construction","hydro",2765.81433797753
"ABW","construction","nuclear",1693.60795773856
"ABW","construction","oil",2027.50303030303
"ABW","construction","solar_csp",9862.93449197861
"ABW","construction","solar_pv",8346.71095771549
"ABW","construction","wind_off",1194.93678227515
"ABW","construction","wind_on",2174.86741268727
"ABW","extraction","coal",64.2336920537982
"ABW","extraction","gas",8.04874660384131
"ABW","extraction","nuclear",12.0295555555556
"ABW","extraction","oil",10.198746812803
"ABW","manufacturing","biomass",2686.53846153846
"ABW","manufacturing","coal",1020
"ABW","manufacturing","gas",1450
"ABW","manufacturing","hydro",2666.5
"ABW","manufacturing","nuclear",130
"ABW","manufacturing","oil",1450
"ABW","manufacturing","solar_csp",4663.79310344828
"ABW","manufacturing","solar_pv",10809.5482295482
"ABW","manufacturing","wind_off",2863.58205953339
"ABW","manufacturing","wind_on",5684.02312599681
"ABW","oem","biomass",1840.76811594203
"ABW","oem","coal",390.230117132633
"ABW","oem","gas",314.055899908173
"ABW","oem","hydro",296.227036069226
"ABW","oem","nuclear",1113.15135426705
"ABW","oem","oil",314.055899908173
"ABW","oem","solar_csp",708.69986631016
"ABW","oem","solar_pv",1498.25724601181
"ABW","oem","wind_off",395.073064032741
"ABW","oem","wind_on",394.891028634402
"ABW","refinery","oil",2.95908089832293
"ABW","refinery","trbiofuel",0.28299301928518
"AFG","construction","biomass",3627.31481481481
"AFG","construction","coal",3030.30303030303
"AFG","construction","gas",2027.50303030303
"AFG","construction","hydro",2765.81433797753
"AFG","construction","nuclear",1693.60795773856
"AFG","construction","oil",2027.50303030303
"AFG","construction","solar_csp",9862.93449197861
"AFG","construction","solar_pv",8346.71095771549
"AFG","construction","wind_off",1194.93678227515
"AFG","construction","wind_on",2174.86741268727
"AFG","extraction","coal",42.4704040184181
"AFG","extraction","gas",8.04874660384131
"AFG","extraction","nuclear",12.0295555555556
"AFG","extraction","oil",10.198746812803
"AFG","manufacturing","biomass",2686.53846153846
"AFG","manufacturing","coal",1020
"AFG","manufacturing","gas",1450
"AFG","manufacturing","hydro",2666.5
"AFG","manufacturing","nuclear",130
"AFG","manufacturing","oil",1450
"AFG","manufacturing","solar_csp",4663.79310344828
"AFG","manufacturing","solar_pv",10809.5482295482
"AFG","manufacturing","wind_off",2863.58205953339
"AFG","manufacturing","wind_on",5684.02312599681
"AFG","oem","biomass",1840.76811594203
"AFG","oem","coal",454.545454545455
"AFG","oem","gas",314.055899908173
"AFG","oem","hydro",296.227036069226
"AFG","oem","nuclear",1113.15135426705
"AFG","oem","oil",314.055899908173
"AFG","oem","solar_csp",708.69986631016
"AFG","oem","solar_pv",1498.25724601181
"AFG","oem","wind_off",395.073064032741
"AFG","oem","wind_on",394.891028634402
"AFG","refinery","oil",2.95908089832293
"AFG","refinery","trbiofuel",0.299595179907446
"AGO","construction","biomass",3627.31481481481
"AGO","construction","coal",1428.57142857143
"AGO","construction","gas",2027.50303030303
"AGO","construction","hydro",4604.05156537753
"AGO","construction","nuclear",1693.60795773856
"AGO","construction","oil",2027.50303030303
"AGO","construction","solar_csp",9862.93449197861
"AGO","construction","solar_pv",6153
"AGO","construction","wind_off",1540
"AGO","construction","wind_on",3080
"AGO","extraction","coal",42.4704040184181
"AGO","extraction","gas",9.44976076555024
"AGO","extraction","nuclear",12.0295555555556
"AGO","extraction","oil",9.44976076555024
"AGO","manufacturing","biomass",2686.53846153846
"AGO","manufacturing","coal",1020
"AGO","manufacturing","gas",1450
"AGO","manufacturing","hydro",2666.5
"AGO","manufacturing","nuclear",130
"AGO","manufacturing","oil",1450
"AGO","manufacturing","solar_csp",4663.79310344828
"AGO","manufacturing","solar_pv",8440
"AGO","manufacturing","wind_off",3740
"AGO","manufacturing","wind_on",7480
"AGO","oem","biomass",1840.76811594203
"AGO","oem","coal",476.190476190476
"AGO","oem","gas",314.055899908173
"AGO","oem","hydro",190.47619047619
"AGO","oem","nuclear",1113.15135426705
"AGO","oem","oil",314.055899908173
"AGO","oem","solar_csp",708.69986631016
"AGO","oem","solar_pv",2780
"AGO","oem","wind_off",645.161290322581
"AGO","oem","wind_on",645.161290322581
"AGO","refinery","oil",2.95908089832293
"AGO","refinery","trbiofuel",0.300664222521761
"AIA","construction","biomass",3627.31481481481
"AIA","construction","coal",1645.1272387743
"AIA","construction","gas",2027.50303030303
"AIA","construction","hydro",2765.81433797753
"AIA","construction","nuclear",1693.60795773856
"AIA","construction","oil",2027.50303030303
"AIA","construction","solar_csp",9862.93449197861
"AIA","construction","solar_pv",8346.71095771549
"AIA","construction","wind_off",1194.93678227515
"AIA","construction","wind_on",2174.86741268727
"AIA","extraction","coal",64.2336920537982
"AIA","extraction","gas",8.04874660384131
"AIA","extraction","nuclear",12.0295555555556
"AIA","extraction","oil",10.198746812803
"AIA","manufacturing","biomass",2686.53846153846
"AIA","manufacturing","coal",1020
"AIA","manufacturing","gas",1450
"AIA","manufacturing","hydro",2666.5
"AIA","manufacturing","nuclear",130
"AIA","manufacturing","oil",1450
"AIA","manufacturing","solar_csp",4663.79310344828
"AIA","manufacturing","solar_pv",10809.5482295482
"AIA","manufacturing","wind_off",2863.58205953339
"AIA","manufacturing","wind_on",5684.02312599681
"AIA","oem","biomass",1840.76811594203
"AIA","oem","coal",390.230117132633
"AIA","oem","gas",314.055899908173
"AIA","oem","hydro",296.227036069226
"AIA","oem","nuclear",1113.15135426705
"AIA","oem","oil",314.055899908173
"AIA","oem","solar_csp",708.69986631016
"AIA","oem","solar_pv",1498.25724601181
"AIA","oem","wind_off",395.073064032741
"AIA","oem","wind_on",394.891028634402
"AIA","refinery","oil",2.95908089832293
"AIA","refinery","trbiofuel",0.28299301928518
"ALA","construction","biomass",6155
"ALA","construction","coal",1645.1272387743
"ALA","construction","gas",2027.50303030303
"ALA","construction","hydro",2765.81433797753
"ALA","construction","nuclear",1672.47386759582
"ALA","construction","oil",2027.50303030303
"ALA","construction","solar_csp",9593
"ALA","construction","solar_pv",8630
"ALA","construction","wind_off",1172.21212121212
"ALA","construction","wind_on",1109.09090909091
"ALA","extraction","coal",29.1753588600395
"ALA","extraction","gas",8.61244019138756
"ALA","extraction","nuclear",12.0295555555556
"ALA","extraction","oil",14.3540669856459
"ALA","manufacturing","biomass",2650
"ALA","manufacturing","coal",1020
"ALA","manufacturing","gas",1450
"ALA","manufacturing","hydro",2666.5
"ALA","manufacturing","nuclear",130
"ALA","manufacturing","oil",1450
"ALA","manufacturing","solar_csp",4000
"ALA","manufacturing","solar_pv",13700
"ALA","manufacturing","wind_off",1838.63636363636
"ALA","manufacturing","wind_on",3531.81818181818
"ALA","oem","biomass",1985
"ALA","oem","coal",355.714285714286
"ALA","oem","gas",314.055899908173
"ALA","oem","hydro",260.177419354839
"ALA","oem","nuclear",784.072437680685
"ALA","oem","oil",314.055899908173
"ALA","oem","solar_csp",544.5
"ALA","oem","solar_pv",800.311613345074
"ALA","oem","wind_off",322.987012987013
"ALA","oem","wind_on",334.090909090909
"ALA","refinery","oil",1.5207567537753
"ALA","refinery","trbiofuel",0.287124311152314
"ALB","construction","biomass",6155
"ALB","construction","coal",1645.1272387743
"ALB","construction","gas",2027.50303030303
"ALB","construction","hydro",2765.81433797753
"ALB","construction","nuclear",1672.47386759582
"ALB","construction","oil",2027.50303030303
